Name,Franchise,Medium,Role,Powers,Strengths,Weaknesses,Signature Abilities,Power Tier,Confidence,Cross-Medium Note
Earthworm Jim,Earthworm Jim,cartoon,Hero,"Super-suit, plasma blaster, whip head","Powerful suit, ray gun, agility",Suit-dependent,"Plasma Blaster, whip head",Building,Low,
Aku,Samurai Jack,cartoon,Demon,"Shapeshifting, fire breath, immortality, reality warp","Near-omnipotent shapeshifter, eye beams",Vulnerable only to Jack's magic blade,"Shapeshifting, fire blasts, portals",City,High,
Wile E. Coyote,Looney Tunes,cartoon,Trickster,"Gadgets (ACME), toon resilience","Endless inventions, survives explosions",Gadgets always backfire,ACME devices,Building,Med,
Road Runner,Looney Tunes,cartoon,Bird,"Super speed, toon physics","Outruns everything, dodges traps",Limited offense,Speed bursts,Building,Med,
Pinky,Pinky and the Brain,cartoon,Mouse,Toon resilience,"Loyal, lucky",Stupidity,Comic relief,Human,Low,
Brain,Pinky and the Brain,cartoon,Mouse,"Genius intellect, inventions","World-domination schemer, gadgets","Tiny, plans always fail","Inventions, schemes",Building,Low,
Gumball Watterson,The Amazing World of Gumball,cartoon,Cat,"Toon physics, reality manipulation","Reality-bending gags, fourth-wall awareness","Impulsive, child",Toon reality edits,City,Med,
Mordecai,Regular Show,cartoon,Bird,Toon physics,Survives surreal threats,"Slacker, ordinary",Improvisation,Wall,Low,
Rigby,Regular Show,cartoon,Raccoon,Toon physics,Survives surreal threats,"Lazy, weak",Improvisation,Wall,Low,
Star Butterfly,Star vs. the Forces of Evil,cartoon,Princess,"Magic wand, spells, dimensional scissors","Versatile spellcasting, monster summons","Wand-dependent, impulsive","Narwhal Blast, Mewberty",City,High,
Marco Diaz,Star vs. the Forces of Evil,cartoon,Sidekick,"Karate, courage",Skilled martial artist,"Human, no innate magic",Karate strikes,Human,Med,
Kim Possible,Kim Possible,cartoon,Spy,"Martial arts, gadgets, acrobatics","Elite spy skills, gadgets","Human, gadget-reliant","Kung-fu, grappling hook",Human,Med,
Raphael,TMNT,cartoon,Turtle,"Sai, ninjutsu, super strength","Strongest, aggressive fighter",Hot temper,"Sai strikes, ninjutsu",Building,High,
Leonardo,TMNT,cartoon,Turtle,"Katana, ninjutsu, leadership","Disciplined swordsman, tactician",Self-doubt,"Twin katana, ninjutsu",Building,High,
Donatello,TMNT,cartoon,Turtle,"Bo staff, genius intellect, tech","Inventor, reach weapon",Weakest in melee,"Bo staff, gadgets",Building,High,
Michelangelo,TMNT,cartoon,Turtle,"Nunchaku, agility","Most agile, unpredictable","Goofy, undisciplined","Nunchaku, ninjutsu",Building,High,
Shredder,TMNT,cartoon,Villain,"Bladed armor, ninjutsu mastery","Master ninja, armored blades",Arrogance,"Gauntlet blades, ninjutsu",Building,High,
Inspector Gadget,Inspector Gadget,cartoon,Detective,Cybernetic gadgets,Endless built-in tools,"Clumsy, gadgets misfire",Go-Go-Gadget tools,Building,Low,
Darkwing Duck,Darkwing Duck,cartoon,Hero,"Gadgets, gas gun, martial arts","Skilled crimefighter, gadgets","Ego, clumsy","Gas Gun, grappling",Human,Low,
Gargoyle Goliath,Gargoyles,cartoon,Gargoyle,"Super strength, flight (gliding), durability","Stone-skin by day, powerful warrior by night",Turns to stone in daylight,"Gliding, brute strength",City,Med,
Aladdin,Aladdin (TV),cartoon,Hero,"Agility, scimitar, wits","Acrobat, resourceful","Human, no innate power","Sword, acrobatics",Human,Med,
Jackie Chan,Jackie Chan Adventures,cartoon,Hero,"Martial arts, talismans","Elite kung fu, talisman powers",Human without talismans,"Kung fu, talisman abilities",Building,Med,
Jade,Jackie Chan Adventures,cartoon,Sidekick,Talisman powers (when used),"Resourceful, brave",Child,Borrowed talisman powers,Wall,Low,
Wonder Woman (DCAU),Justice League (animated),cartoon,Hero,"Super strength, flight, Lasso of Truth, durability","Amazonian warrior, near-Superman tier","Bound by own lasso, honor","Lasso of Truth, bracers, sword",City,High,Same name appears in another medium — use this medium's portrayal
Superman (DCAU),Justice League (animated),cartoon,Hero,"Flight, super strength, heat vision, invulnerability","Near-invincible, flight, speed","Kryptonite, magic","Heat vision, freeze breath, flight",Planet,High,Same name appears in another medium — use this medium's portrayal
Batman (DCAU),Batman: The Animated Series,cartoon,Hero,"Genius intellect, martial arts, gadgets","Master strategist, prep time, peak human",Fully human,"Batarangs, gadgets, martial arts",Human,High,Same name appears in another medium — use this medium's portrayal
Static,Static Shock,cartoon,Hero,"Electromagnetism, electricity, flight (disc)","Lightning blasts, magnetism, flight",Power tied to charge,"Electric blasts, magnetic control",City,Med,
Spider-Man (Spectacular),Spectacular Spider-Man,cartoon,Hero,"Wall-crawl, spider-sense, web-shooters, agility","Danger sense, agility, super strength",Web fluid runs out,"Web-swinging, spider-sense",City,High,Same name appears in another medium — use this medium's portrayal
X-Men Wolverine (animated),X-Men: The Animated Series,cartoon,Hero,"Healing factor, adamantium claws, senses","Regenerates, unbreakable claws","Berserker rage, metal-magnetism vulnerability","Adamantium claws, healing factor",Building,High,
Beast Boy,Teen Titans,cartoon,Hero,Shapeshifting into animals,"Becomes any animal, versatile",Limited to known animals,Animal transformations,City,High,
Raven,Teen Titans,cartoon,Hero,"Telekinesis, dark energy, teleport, empathy","Powerful sorcery, soul-self",Emotion triggers demon side,"Azarath Metrion Zinthos, soul-self",Island,High,
Robin,Teen Titans,cartoon,Hero,"Martial arts, gadgets, bo staff","Tactical leader, elite fighter",Human,"Birdarangs, bo staff",Human,High,
Starfire,Teen Titans,cartoon,Hero,"Flight, starbolts, super strength, durability","Energy blasts, flight, alien strength",Power tied to emotion,"Starbolts, eye beams",City,High,
Cyborg,Teen Titans,cartoon,Hero,"Cybernetics, sonic cannon, strength","Tech arsenal, sonic cannon","Needs recharging, EMP-vulnerable","Sonic Cannon, gadgets",City,High,
Invincible,Invincible,cartoon,Hero,"Flight, super strength, speed, durability","Viltrumite power, near-invulnerable, growing","Inexperience early, emotional","Flight, super-strength strikes",Planet,High,
Omni-Man,Invincible,cartoon,Antagonist,"Flight, immense strength, speed, durability","Elite Viltrumite warrior, ruthless","Arrogance, emotional turn","Flight, devastating strikes",Planet,High,
Hilda,Hilda,cartoon,Adventurer,"Courage, knowledge of creatures","Brave, resourceful","Child, no powers","Wits, creature lore",Human,Low,
Lincoln Loud,The Loud House,cartoon,Icon,Resourcefulness,Clever planner,Child,Schemes,Human,Low,
Heffer,Rocko's Modern Life,cartoon,Steer,Toon resilience,Survives gags,Gluttony,Comic durability,Human,Low,
Rocko,Rocko's Modern Life,cartoon,Wallaby,Toon resilience,Survives surreal life,"Anxious, ordinary",Improvisation,Human,Low,
Catdog,CatDog,cartoon,Conjoined,Toon resilience,Survives gags,Conjoined limits,Comic durability,Human,Low,
Stimpy,Ren and Stimpy,cartoon,Cat,Toon physics,Survives extreme gags,Stupidity,Comic durability,Wall,Low,
Ren,Ren and Stimpy,cartoon,Dog,Toon physics,"Survives gags, cunning","Rage, instability",Comic schemes,Wall,Low,
Johnny Test,Johnny Test,cartoon,Icon,Gadgets from sisters,Access to advanced inventions,"Child, gadget-reliant",Borrowed inventions,Building,Low,
Phineas,Phineas and Ferb,cartoon,Inventor,Genius engineering,Builds anything in a day,Child,Inventions,Building,Low,
Perry the Platypus,Phineas and Ferb,cartoon,Secret Agent,"Martial arts, gadgets",Elite secret agent,Animal form cover,"Spy gadgets, martial arts",Human,Med,
Wander,Wander Over Yonder,cartoon,Adventurer,"Optimism, hat (hammerspace)","Disarms enemies with kindness, endless items",No direct combat,"Hat items, positivity",Wall,Low,
Buzz Lightyear (animated),Buzz Lightyear of Star Command,cartoon,Hero,"Suit, laser, jetpack","Space ranger gear, courage",Toy-origin in films,"Wrist laser, jetpack",Building,Med,
Skips,Regular Show,cartoon,Immortal,"Super strength, martial arts, immortality","Centuries of combat skill, super strength","Stoic, secretive",Fist of Justice,City,Med,
Darth Vader,Star Wars,movie,Sith,"The Force, telekinesis, lightsaber, choke","Immense Force power, master duelist","Life-support suit, emotional conflict","Force choke, lightsaber combat, telekinesis",City,High,
Luke Skywalker,Star Wars,movie,Jedi,"The Force, lightsaber, telekinesis, projection","Skilled Jedi, Force projection across galaxy","Impulsive young, aging later","Lightsaber combat, Force push, projection",City,High,
Yoda,Star Wars,movie,Jedi Master,"The Force mastery, lightsaber, telekinesis","Greatest Jedi, lightning deflection","Tiny body, age","Force lightning block, acrobatic saber duel",City,High,
Obi-Wan Kenobi,Star Wars,movie,Jedi,"The Force, lightsaber (Soresu)","Master defensive duelist, wise","Aging, restraint","Lightsaber Soresu, Force tricks",City,High,
Emperor Palpatine,Star Wars,movie,Sith Lord,"Force lightning, telekinesis, precognition","Sith mastermind, lightning storms","Overconfidence, body decay","Force Lightning, Force storm",City,High,
Rey,Star Wars,movie,Jedi,"The Force, lightsaber, healing","Fast Force learner, healing, dyad power","Inexperience, lineage burden","Force healing, lightsaber combat",City,High,
Neo,The Matrix,movie,The One,"Reality control in Matrix, flight, super strength","Bends Matrix rules, flight, bullet-stop","Real-world body, machine threats","Bullet-time, flight, code manipulation",City,High,
Agent Smith,The Matrix,movie,Program,"Replication, possession, super strength/speed","Copies into anyone, viral spread",Bound to Matrix rules,"Replication, super-strength strikes",City,High,
John Wick,John Wick,movie,Assassin,"Master marksmanship, martial arts, judo","Elite gun-fu, near-unkillable resolve","Fully human, takes heavy damage","Gun-fu, close-quarters combat",Human,High,
Ellen Ripley,Alien,movie,Survivor,"Tactics, weapons, resolve","Resourceful survivor, power loader use",Fully human,"Pulse rifle, power loader",Human,High,
The Terminator (T-800),Terminator,movie,Cyborg,"Cybernetic strength, durability, weapons","Relentless, near-indestructible endoskeleton",Vulnerable to extreme heat/crushing,"Heavy weapons, brute force",Building,High,
T-1000,Terminator 2,movie,Cyborg,"Liquid metal shapeshifting, blade limbs","Reforms from damage, mimics anyone",Extreme heat/cold disrupts form,"Shapeshifting, blade arms",Building,High,
Sarah Connor,Terminator,movie,Soldier,"Tactics, weapons, survival","Battle-hardened, resourceful",Fully human,"Firearms, tactics",Human,High,
RoboCop,RoboCop,movie,Cyborg,"Cybernetic body, Auto-9 pistol, targeting","Armored, precise marksman","Prime directives, EMP-vulnerable","Auto-9, data spike, durability",Building,High,
Predator,Predator,movie,Hunter,"Cloaking, plasma caster, blades, vision modes","Stealth hunter, advanced weapons","Honor code, visible when wet/muddy","Plasma caster, cloaking, wrist blades",Building,High,
Xenomorph,Alien,movie,Creature,"Acid blood, claws, tail, stealth, agility","Lethal predator, acid blood deters attack",Vulnerable to fire/extreme force,"Acid blood, inner jaw, tail strike",Building,High,
Indiana Jones,Indiana Jones,movie,Adventurer,"Whip, marksmanship, archaeology","Resourceful, brave, skilled","Fully human, snake phobia","Bullwhip, improvisation",Human,High,
James Bond,James Bond,movie,Spy,"Marksmanship, martial arts, gadgets","Elite spy, gadgets, driving",Fully human,"Walther PPK, spy gadgets",Human,High,
Jack Sparrow,Pirates of the Caribbean,movie,Pirate,"Swordsmanship, cunning, luck","Master trickster, sword skill","Drunk, self-serving","Swordplay, schemes",Human,High,
Maximus,Gladiator,movie,General,"Swordsmanship, tactics, leadership",Elite warrior and commander,"Fully human, grief",Sword and shield combat,Human,High,
Aragorn,The Lord of the Rings,movie,Ranger,"Swordsmanship, tracking, leadership","Elite warrior, Andúril, command of the dead",Fully human (long-lived),"Andúril, ranger skills",Human,High,
Legolas,The Lord of the Rings,movie,Elf,"Archery, agility, elven senses",Superhuman archery and agility,Limited melee vs heavy foes,"Bow mastery, acrobatic combat",Human,High,
Gandalf,The Lord of the Rings,movie,Wizard,"Magic, staff, sword, light","Maia spirit, powerful sorcery, light","Restrained power, mortal-seeming form","Staff magic, Glamdring, light blast",City,High,
Gollum,The Lord of the Rings,movie,Creature,"Agility, stealth, Ring obsession","Climber, survivor, deceptive","Frail, Ring-addicted","Strangling, stealth",Human,Med,
Sauron,The Lord of the Rings,movie,Dark Lord,"Dark magic, the One Ring, mace","Near-omnipotent, corrupts, immense strength",Bound to the One Ring,"Ring dominion, mace strikes",City,High,
Neytiri,Avatar,movie,Warrior,"Archery, agility, Na'vi strength","Elite hunter, bonded to creatures",Na'vi vulnerabilities to tech,"Bow, melee, Ikran/banshee bond",Human,Med,
Jake Sully,Avatar,movie,Warrior,"Na'vi body, archery, Toruk bond","Avatar strength, leadership","Tech weaponry, dual-body risk","Bow, Toruk Makto bond",Human,Med,
E.T.,E.T.,movie,Alien,"Telekinesis, healing, telepathy, levitation","Healing touch, levitation, empathy","Frail, Earth atmosphere","Healing finger, levitation",Wall,Med,
Marty McFly,Back to the Future,movie,Time Traveler,"Skateboarding, quick thinking","Resourceful, adaptable","Fully human, 'chicken' trigger","Improvisation, DeLorean use",Human,Med,
Doc Brown,Back to the Future,movie,Scientist,"Genius inventor, time machine","Builds time travel, eccentric genius","Fully human, scattered","Inventions, DeLorean",Human,Med,
Wednesday Addams,The Addams Family,movie,Icon,"Deadpan cunning, blades, fencing","Resourceful, fearless, skilled with weapons","Human, dark obsessions","Fencing, traps",Human,Med,
Beetlejuice,Beetlejuice,movie,Ghost,"Shapeshifting, reality warp in afterlife","Chaos magic, transformation",Bound by name-summon rules,"Shapeshifting, conjuration",City,Med,
Edward Scissorhands,Edward Scissorhands,movie,Creation,"Blade hands, topiary/ice artistry","Precise blades, gentle nature","Can't touch safely, isolation","Scissor-blade strikes, artistry",Human,Med,
Freddy Krueger,A Nightmare on Elm Street,movie,Slasher,"Dream control, regeneration, bladed glove","Near-omnipotent in dreams, immortal",Powerless if pulled into real world,"Dream manipulation, glove claws",City,High,
Jason Voorhees,Friday the 13th,movie,Slasher,"Super strength, regeneration, machete","Near-unkillable, immense strength","Slow, water-related weaknesses","Machete kills, regeneration",Building,High,
Michael Myers,Halloween,movie,Slasher,"Super strength, durability, stealth","Relentless, survives fatal wounds","Slow, can be temporarily downed","Knife kills, stalking",Building,High,
Pennywise,It,movie,Entity,"Shapeshifting, illusions, fear-feeding",Reality-warping cosmic horror,Weakened by lack of fear/belief,"Shapeshifting, Deadlights",City,High,
Pinhead,Hellraiser,movie,Cenobite,"Chains/hooks, summoning, near-immortality","Commands chains, otherworldly power",Bound by the puzzle box rules,"Hook chains, summoning",City,Med,
Chucky,Child's Play,movie,Doll,"Possessed doll, knives, voodoo","Surprise attacks, body-swap voodoo","Small doll body, fragile","Knife attacks, voodoo soul transfer",Human,Med,
Hannibal Lecter,The Silence of the Lambs,movie,Antagonist,"Genius intellect, manipulation","Brilliant manipulator, lethal precision",Fully human,"Psychological manipulation, lethal strikes",Human,High,
Hellboy,Hellboy,movie,Demon,"Super strength, Right Hand of Doom, regeneration","Immense strength, stone fist, durability","Demonic destiny, temper","Right Hand of Doom, Samaritan pistol",City,High,
Blade,Blade,movie,Daywalker,"Vampire strength/speed, immune to sunlight",Vampire powers without weaknesses,Needs serum for thirst,"Sword, glaive, gun-fu",Building,High,
Mr. Incredible,The Incredibles,movie,Hero,"Super strength, durability","Immense strength, near-invulnerable","Aging, ego",Super-strength feats,City,High,
Elastigirl,The Incredibles,movie,Hero,"Elasticity, shapeshifting body","Stretches/reshapes, versatile",Limited raw strength,"Stretch attacks, parachute form",City,High,
Dash,The Incredibles,movie,Hero,Super speed,"Runs on water, blinding speed","Child, low power",Super-speed strikes,Building,High,
Violet,The Incredibles,movie,Hero,"Invisibility, force fields","Invisible, protective shields",Confidence-dependent,"Force-field bubbles, invisibility",City,High,
Syndrome,The Incredibles,movie,Villain,"Tech (zero-point energy, gadgets)","Genius inventor, zero-point ray","No innate powers, ego","Zero-point energy beam, rockets",City,Med,
Po,Kung Fu Panda,movie,Warrior,"Kung fu, chi mastery, Dragon Warrior",Master of kung fu and chi,"Gluttony, self-doubt","Wuxi Finger Hold, chi healing",City,High,
Tai Lung,Kung Fu Panda,movie,Villain,"Kung fu mastery, nerve strikes","Elite warrior, paralysis strikes","Pride, vulnerable to Wuxi Hold","Nerve attacks, leopard agility",Building,High,
Shifu,Kung Fu Panda,movie,Master,"Kung fu mastery, chi",Master teacher and fighter,"Aging, regret",Kung fu mastery,Building,Med,
Shrek,Shrek,movie,Ogre,"Super strength, durability","Ogre strength, resilience","Temper, insecurity",Brute strength,Wall,Med,
Puss in Boots,Shrek,movie,Swordsman,"Swordsmanship, agility, charm","Master duelist cat, agile","Catnip, vanity","Rapier dueling, cat agility",Human,High,
Optimus Prime (live-action),Transformers (film),movie,Autobot,"Transformation, swords, cannon, strength","Leader, blades, immense strength","Energon dependence, self-sacrifice","Energon swords, ion cannon",City,High,Same name appears in another medium — use this medium's portrayal
Bumblebee (live-action),Transformers (film),movie,Autobot,"Transformation, stinger cannon, agility","Fast scout, plasma cannon","Damaged voice, smaller frame","Plasma cannon, agility",Building,Med,Same name appears in another medium — use this medium's portrayal
King Kong,King Kong,movie,Kaiju,"Immense strength, durability","Giant ape strength, agility for size","Mortal, emotional","Brute strength, grappling",City,High,
Godzilla,Godzilla,movie,Kaiju,"Atomic breath, immense strength, regeneration","City-leveling power, atomic breath, durability","Slow, nuclear-energy dependent","Atomic Breath, tail strikes",Island,High,
Mothra,Godzilla,movie,Kaiju,"Flight, energy beams, scales, silk","Divine kaiju, energy attacks, healing","Shorter lifespan, fragile wings","God Rays, silk spray",City,High,
King Ghidorah,Godzilla,movie,Kaiju,"Flight, gravity beams, three heads, regen","Multi-headed, gravity bolts, regeneration",Coordination of heads,"Gravity Beams, hurricane winds",Island,High,
Iron Man,Iron Man (MCU),movie,Hero,"Powered armor, repulsors, flight, AI","Genius inventor, versatile armor","Suit-dependent, heart/arc reactor","Repulsors, Unibeam, nanotech suit",City,High,
Captain America,Captain America (MCU),movie,Hero,"Peak human, vibranium shield, super soldier","Tactical genius, indestructible shield",No superpowers beyond serum,"Shield throw, hand-to-hand",Building,High,
Thor,Thor (MCU),movie,God,"Lightning, Mjolnir/Stormbreaker, super strength","God of Thunder, storm control, durability","Pride, weapon-reliant earlier","Mjolnir lightning, Stormbreaker",Planet,High,
Hulk,The Avengers (MCU),movie,Hero,"Limitless strength (anger-fueled), regeneration","Strength grows with rage, near-invincible","Loss of control, Banner duality","Thunderclap, ground smash",Island,High,
Black Widow,Avengers (MCU),movie,Hero,"Martial arts, espionage, gadgets",Elite spy and fighter,Fully human,"Widow's Bite, martial arts",Human,High,
Spider-Man (MCU),Spider-Man (MCU),movie,Hero,"Wall-crawl, spider-sense, web-shooters, strength","Agility, danger sense, Iron Spider suit","Youth, emotional","Web-swinging, spider-sense",City,High,Same name appears in another medium — use this medium's portrayal
Doctor Strange,Doctor Strange (MCU),movie,Sorcerer,"Mystic arts, portals, time (Eye of Agamotto)","Reality/time manipulation, multiverse sight","Magic strain, requires focus","Mirror Dimension, portals, time loops",Island,High,
Black Panther,Black Panther (MCU),movie,Hero,"Vibranium suit, enhanced senses, agility","Heart-Shaped Herb strength, kinetic suit",Suit charge limits,"Vibranium claws, kinetic blast",Building,High,
Thanos,Avengers: Infinity War,movie,Titan,"Super strength, durability, Infinity Gauntlet","Reality-warping with stones, immense might",Without gauntlet just very strong,"Infinity Stones, Double Snap",Universal,High,
Loki,Thor (MCU),movie,God,"Illusion magic, shapeshifting, daggers","Trickster magic, duplication","Ego, betrayal cycle","Illusions, shapeshifting, daggers",City,High,
Scarlet Witch,WandaVision (film tier),movie,Hero,"Chaos magic, telekinesis, reality warp",Reality-altering chaos magic,Emotional instability,"Hex bolts, reality warping",Island,High,
Star-Lord,Guardians of the Galaxy,movie,Hero,"Element guns, jet boots, Celestial heritage","Marksman, leadership, gadgets",Reliant on gear,"Element Guns, jet boots",Building,High,
Gamora,Guardians of the Galaxy,movie,Hero,"Enhanced strength, swordsmanship","Deadliest woman in the galaxy, Godslayer",Past trauma,"Godslayer sword, martial arts",Building,High,
Groot,Guardians of the Galaxy,movie,Hero,"Plant body, regeneration, growth","Regrows, extends limbs, immense size",Fire vulnerability,"Vine strikes, body extension",City,High,
Rocket,Guardians of the Galaxy,movie,Hero,"Genius engineering, heavy weapons","Inventor, marksman, tactician","Small, temper","Big guns, gadgets",Building,High,
Wolverine,X-Men (film),movie,Mutant,"Healing factor, adamantium claws, senses","Regenerates, unbreakable claws","Berserker rage, magnetism","Adamantium claws, healing",Building,High,
Magneto,X-Men (film),movie,Mutant,"Magnetism (metal control), flight","Controls all metal, force fields","Non-metal attacks, ego","Metal manipulation, magnetic shields",City,High,
Professor X,X-Men (film),movie,Mutant,"Telepathy, mind control, Cerebro","Most powerful telepath, mind control","Wheelchair-bound, psychic strain","Telepathy, mental paralysis",City,High,
Storm,X-Men (film),movie,Mutant,"Weather control, flight, lightning","Controls weather, lightning, flight","Claustrophobia, emotion-tied","Lightning, tornadoes, flight",City,High,
Mystique,X-Men (film),movie,Mutant,"Shapeshifting, agility, combat","Mimics anyone, elite fighter",Limited raw power,"Shapeshifting, martial arts",Building,High,
Deadpool,Deadpool,movie,Mutant,"Healing factor, swords, guns, fourth wall","Regenerates from anything, skilled mercenary","Insanity, pain persists","Katanas, gun-fu, regeneration",Building,High,
Joker (live-action),The Dark Knight,movie,Villain,"Genius chaos, manipulation","Master manipulator, fearless",Fully human,"Schemes, knives, explosives",Human,High,
Batman (live-action),The Dark Knight,movie,Hero,"Martial arts, gadgets, vehicles, intellect","Master detective and fighter, prep",Fully human,"Batarangs, gadgets, martial arts",Human,High,Same name appears in another medium — use this medium's portrayal
Wonder Woman (live-action),Wonder Woman,movie,Hero,"Super strength, Lasso, bracers, sword, flight","Amazonian demigod, near-Superman tier",Honor-bound,"Lasso of Truth, bracers, sword",City,High,Same name appears in another medium — use this medium's portrayal
Superman (live-action),Man of Steel,movie,Hero,"Flight, super strength, heat vision, invulnerability","Near-invincible, flight, speed","Kryptonite, magic","Heat vision, freeze breath, flight",Planet,High,Same name appears in another medium — use this medium's portrayal
Aquaman,Aquaman,movie,Hero,"Super strength, hydrokinesis, marine command","Underwater dominance, trident power",Less dominant on land,"Trident of Atlan, water control",City,High,
The Flash (live-action),The Flash,movie,Hero,"Super speed, Speed Force, time travel",Time/space-bending speed,"Paradox risk, impulsiveness","Speed Force, time travel",Continent,High,
Harry Potter,Harry Potter,movie,Wizard,"Spellcasting, wand, Parseltongue","Skilled young wizard, defense","Wand-reliant, young","Expelliarmus, Patronus",Wall,High,
Hermione Granger,Harry Potter,movie,Witch,"Spellcasting, genius intellect","Brightest witch, vast spell knowledge",Wand-reliant,Wide spell repertoire,Wall,High,
Voldemort,Harry Potter,movie,Dark Wizard,"Dark magic, Horcruxes, flight, Parseltongue","Most powerful dark wizard, near-immortal",Horcruxes must be destroyed first,"Avada Kedavra, dark spells",City,High,
Dumbledore,Harry Potter,movie,Wizard,"Spell mastery, Elder Wand",Greatest wizard of his age,"Aging, secrets","Elder Wand mastery, transfiguration",City,High,
Maui,Moana,movie,Demigod,"Shapeshifting, magic fishhook, super strength","Demigod strength, transforms, hook magic","Hook-dependent, ego","Shapeshifting, hook strikes",City,High,
Ash Williams,Evil Dead,movie,Hunter,"Chainsaw hand, boomstick, resilience","Survives demons, iconic weapons","Reckless, fully human","Chainsaw arm, shotgun",Human,Med,
Mad Max,Mad Max,movie,Survivor,"Driving, marksmanship, survival",Elite driver and fighter,"Fully human, haunted","Vehicular combat, firearms",Human,High,
Furiosa,Mad Max: Fury Road,movie,Warrior,"Driving, marksmanship, melee",Elite warrior and driver,"Fully human, prosthetic arm","Vehicular combat, marksmanship",Human,High,
Trinity,The Matrix,movie,The One's ally,"Matrix combat, martial arts, hacking",Elite fighter within Matrix,Real-world body,Bullet-time martial arts,Building,Med,
Morpheus,The Matrix,movie,Mentor,"Matrix combat, belief",Master fighter and guide,Real-world body,"Martial arts, conviction",Building,Med,
Léon,Léon: The Professional,movie,Assassin,"Marksmanship, stealth, close combat","Elite hitman, precision","Fully human, attachment","Firearms, stealth kills",Human,Med,
Beatrix Kiddo,Kill Bill,movie,Assassin,"Swordsmanship (Hattori Hanzo), martial arts","Elite swordswoman, Five Point Palm","Fully human, vengeance-driven","Hattori Hanzo sword, Exploding Heart",Human,High,
Dracula (Universal),Dracula,movie,Vampire,"Vampirism, hypnosis, shapeshifting","Immortal, mind control, bat/wolf form","Sunlight, stake, holy items","Hypnosis, shapeshifting",City,High,
The Bride of Frankenstein-era Monster,Frankenstein,movie,Creature,"Super strength, durability","Immense strength, resilient","Fire, slow",Brute strength,Building,Med,
King Arthur (film),King Arthur,movie,King,"Swordsmanship (Excalibur), leadership","Elite warrior, legendary blade",Fully human,Excalibur strikes,Human,Med,
